Exch	ExchType	Name	Expiry	ScripType	StrikeRate	LotSize	QtyLimit	ScripCode
N	D	NIFTY 26 JUN 2025 CE 11000.00	6/26/2025	CE	11000	75	1800	60928
N	D	NIFTY 26 JUN 2025 PE 11000.00	6/26/2025	PE	11000	75	1800	60929
N	D	NIFTY 26 JUN 2025 CE 18350.00	6/26/2025	CE	18350	75	1800	61841
N	D	NIFTY 26 JUN 2025 PE 18350.00	6/26/2025	PE	18350	75	1800	61842
N	D	NIFTY 26 JUN 2025 CE 18400.00	6/26/2025	CE	18400	75	1800	61843
N	D	NIFTY 26 JUN 2025 PE 18400.00	6/26/2025	PE	18400	75	1800	61844
N	D	NIFTY 26 JUN 2025 CE 18450.00	6/26/2025	CE	18450	75	1800	61845
N	D	NIFTY 26 JUN 2025 PE 18450.00	6/26/2025	PE	18450	75	1800	61846
N	D	NIFTY 26 JUN 2025 CE 18500.00	6/26/2025	CE	18500	75	1800	61847
N	D	NIFTY 26 JUN 2025 PE 18500.00	6/26/2025	PE	18500	75	1800	61848
N	D	NIFTY 26 JUN 2025 CE 18550.00	6/26/2025	CE	18550	75	1800	61849
N	D	NIFTY 26 JUN 2025 PE 18550.00	6/26/2025	PE	18550	75	1800	61850
N	D	NIFTY 26 JUN 2025 CE 18600.00	6/26/2025	CE	18600	75	1800	61851
N	D	NIFTY 26 JUN 2025 PE 18600.00	6/26/2025	PE	18600	75	1800	61852
N	D	NIFTY 26 JUN 2025 CE 18650.00	6/26/2025	CE	18650	75	1800	61853
N	D	NIFTY 26 JUN 2025 PE 18650.00	6/26/2025	PE	18650	75	1800	61854
N	D	NIFTY 26 JUN 2025 CE 18700.00	6/26/2025	CE	18700	75	1800	61855
N	D	NIFTY 26 JUN 2025 PE 18700.00	6/26/2025	PE	18700	75	1800	61856
N	D	NIFTY 26 JUN 2025 CE 18750.00	6/26/2025	CE	18750	75	1800	61857
N	D	NIFTY 26 JUN 2025 PE 18750.00	6/26/2025	PE	18750	75	1800	61860
N	D	NIFTY 26 JUN 2025 CE 18800.00	6/26/2025	CE	18800	75	1800	61861
N	D	NIFTY 26 JUN 2025 PE 18800.00	6/26/2025	PE	18800	75	1800	61862
N	D	NIFTY 26 JUN 2025 CE 18850.00	6/26/2025	CE	18850	75	1800	61863
N	D	NIFTY 26 JUN 2025 PE 18850.00	6/26/2025	PE	18850	75	1800	61864
N	D	NIFTY 26 JUN 2025 CE 18900.00	6/26/2025	CE	18900	75	1800	61865
N	D	NIFTY 26 JUN 2025 PE 18900.00	6/26/2025	PE	18900	75	1800	61866
N	D	NIFTY 26 JUN 2025 CE 18950.00	6/26/2025	CE	18950	75	1800	61867
N	D	NIFTY 26 JUN 2025 PE 18950.00	6/26/2025	PE	18950	75	1800	61868
N	D	NIFTY 26 JUN 2025 CE 19050.00	6/26/2025	CE	19050	75	1800	61869
N	D	NIFTY 26 JUN 2025 PE 19050.00	6/26/2025	PE	19050	75	1800	61870
N	D	NIFTY 26 JUN 2025 CE 19100.00	6/26/2025	CE	19100	75	1800	61871
N	D	NIFTY 26 JUN 2025 PE 19100.00	6/26/2025	PE	19100	75	1800	61872
N	D	NIFTY 26 JUN 2025 CE 19150.00	6/26/2025	CE	19150	75	1800	61873
N	D	NIFTY 26 JUN 2025 PE 19150.00	6/26/2025	PE	19150	75	1800	61874
